"tag","scenario","phi","alpha_true","N","sim","ok_tsbb","ok_bbjm","alpha_tsbb","se_tsbb","alpha_bbjm","se_bbjm","beta0_tsbb","beta0_bbjm","beta1_tsbb","beta1_bbjm","phi_tsbb","phi_bbjm","time_tsbb","time_bbjm"
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,29,TRUE,TRUE,0.0275788936761741,0.0257056178997188,0.0335563717294353,0.0280472560521384,-0.251413410179572,-0.251984212963749,-0.100830954419155,-0.0713619052728689,0.559707515311449,0.555408990225457,0.294000000000011,1.322
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,30,TRUE,TRUE,0.0313525309202085,0.0220236031678055,0.0341865592388433,0.0236640335953059,0.078289968342162,0.0740083147063496,-0.12092772776057,-0.100441704231439,0.498419359025066,0.49656016066983,0.402000000000015,1.37
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,31,TRUE,TRUE,0.0477808719948564,0.0245059391311589,0.05780257133506,0.0286943941073121,-0.0263438231308268,-0.0292066417062451,-0.0184796464415971,0.0194367816471709,0.440547608651484,0.438540175689689,0.325999999999993,1.28700000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,32,TRUE,TRUE,0.0659153459742459,0.0230726219478032,0.0764073852917207,0.0257509249938632,-0.302232117616285,-0.330410326073484,0.0421967428149013,0.136475537860672,0.441438299808481,0.421644605134195,0.269000000000005,1.26900000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,33,TRUE,TRUE,0.0297650922477774,0.0235343507711013,0.032614592387703,0.0253619865919375,-0.375935819397221,-0.385452020472597,0.118152272135504,0.146199459616823,0.581387763222762,0.578004968306494,0.341000000000008,1.32400000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,34,TRUE,TRUE,0.0178830654166077,0.0220622188017128,0.0226079742763257,0.023975290628852,-0.296889419732746,-0.29671779265586,0.112947815905929,0.131050356977283,0.382181151312934,0.383580091619171,0.288999999999987,1.31700000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,35,TRUE,TRUE,0.0917352003092693,0.0216226677812641,0.0999744627124019,0.0247571374136363,-0.351757060828625,-0.372691513104348,0.100048860118855,0.180133747003508,0.418588630585142,0.412195687450269,0.301000000000016,1.37299999999999
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,36,TRUE,TRUE,0.0691945946189831,0.0249223979526844,0.0782092477650247,0.0276416905026713,-0.434026217401762,-0.467911596032519,0.0685737436580543,0.172170932240079,0.447946486899073,0.430686402192186,0.209000000000032,1.14400000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,37,TRUE,TRUE,0.0586674723191678,0.02740678556064,0.0731369880026703,0.0330852045883356,-0.205426435349497,-0.202854134914209,-0.0187350008135949,0.0340766855128846,0.61996643285294,0.61736667746039,0.303000000000026,1.28800000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,38,TRUE,TRUE,0.024744265246197,0.023550244210905,0.0242252272153353,0.024711444094514,-0.175732875028846,-0.178052954924439,-0.039003072732167,-0.0204633249087878,0.541913074539918,0.536860831415418,0.329999999999984,1.29600000000002
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,39,TRUE,TRUE,0.0787874243256638,0.0369788721710601,0.125096030561552,0.0603139839170684,0.0277998310655014,0.0445291327987576,-0.117764945468648,-0.0685534955903209,0.522135584619985,0.522848964142394,0.324999999999989,1.221
